Connection Count,Handshake Duration (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
4831,0.003284931182861,1661038357.45866,242,1661038357.46045,242,1661038357.46095,90,1661038357.46194,90
4832,0.004300117492676,1661038357.9843,242,1661038357.98534,242,1661038357.9856,90,1661038357.9886,90
4833,0.029399871826172,1661038358.85496,242,1661038358.85628,242,1661038358.85662,90,1661038358.88436,114
4834,0.014117002487183,1661038359.71702,242,1661038359.7187,242,1661038359.71917,90,1661038359.73114,90
4835,0.037178993225098,1661038360.6003,242,1661038360.60227,242,1661038360.60252,90,1661038360.63748,90
4836,0.045652866363525,1661038361.46717,242,1661038361.46879,242,1661038361.46894,90,1661038361.51283,90
4837,0.008592844009399,1661038362.33944,242,1661038362.34048,242,1661038362.34061,90,1661038362.34803,90
4838,0.006767988204956,1661038362.98852,242,1661038362.9899,242,1661038362.99004,90,1661038362.99528,90
4839,0.010822057723999,1661038363.52915,242,1661038363.53095,242,1661038363.53131,90,1661038363.53997,90
4840,0.021338939666748,1661038364.42617,242,1661038364.4278,242,1661038364.42804,90,1661038364.44751,90
4841,0.040284156799317,1661038365.2984,242,1661038365.30005,242,1661038365.30027,90,1661038365.33868,114
4842,0.03911018371582,1661038366.16396,242,1661038366.16563,242,1661038366.1658,114,1661038366.20307,90
4843,0.003113031387329,1661038367.03147,242,1661038367.03308,242,1661038367.03326,90,1661038367.03458,90
4844,0.020810127258301,1661038367.91393,242,1661038367.91554,242,1661038367.91576,90,1661038367.93474,90
4845,0.031610012054443,1661038368.50786,242,1661038368.50949,242,1661038368.50967,90,1661038368.53947,90
4846,0.00664496421814,1661038369.09887,242,1661038369.10062,242,1661038369.10072,90,1661038369.10551,90
4847,0.021602153778076,1661038369.97416,242,1661038369.97601,242,1661038369.97621,90,1661038369.99576,90
4848,0.020642042160034,1661038370.8484,242,1661038370.85027,242,1661038370.85081,90,1661038370.86904,90
4849,0.023077964782715,1661038371.71195,242,1661038371.71396,242,1661038371.71404,90,1661038371.73503,90
4850,0.030163049697876,1661038372.58025,242,1661038372.58201,242,1661038372.5822,90,1661038372.61041,90
4851,0.03191614151001,1661038373.45308,242,1661038373.45479,242,1661038373.45496,90,1661038373.48499,114
4852,0.053273916244507,1661038374.0124,242,1661038374.01399,242,1661038374.01429,90,1661038374.06568,114
4853,0.044763088226318,1661038374.64433,242,1661038374.64608,242,1661038374.64645,90,1661038374.68909,90
4854,0.045368194580078,1661038375.52838,242,1661038375.53027,242,1661038375.53056,90,1661038375.57375,90
4855,0.053889036178589,1661038376.40135,242,1661038376.40306,242,1661038376.40329,90,1661038376.45524,114
4856,0.05179500579834,1661038377.26898,242,1661038377.2706,242,1661038377.27087,90,1661038377.32078,90
4857,0.01190996170044,1661038378.13264,242,1661038378.13465,242,1661038378.13491,90,1661038378.14455,90
4858,0.035668849945068,1661038379.0112,242,1661038379.0131,242,1661038379.01332,90,1661038379.04687,114
4859,0.023898839950562,1661038379.87574,242,1661038379.87764,242,1661038379.87794,90,1661038379.89964,114
4860,0.03236985206604,1661038380.75075,242,1661038380.75257,242,1661038380.75285,90,1661038380.78312,90
4861,0.009562015533447,1661038381.61811,242,1661038381.62016,242,1661038381.62035,90,1661038381.62767,90
4862,0.037975072860718,1661038382.50607,242,1661038382.50782,242,1661038382.50799,90,1661038382.54405,90
