Connection Count,Handshake Duration (s),TCP Ending Handshake Timestamp (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
8865,0.006363868713379,1661152825.94966,1661152825.94329,168,1661152825.94374,168,1661152825.94398,90,1661152825.94966,114
8866,0.049822092056275,1661152831.55881,1661152831.50899,168,1661152831.50949,168,1661152831.50962,114,1661152831.55881,114
8867,0.001883983612061,1661152837.06995,1661152837.06806,168,1661152837.06856,168,1661152837.06876,90,1661152837.06995,90
8868,0.007421970367432,1661152842.6309,1661152842.62348,168,1661152842.62441,168,1661152842.62499,90,1661152842.6309,90
8869,0.021391153335571,1661152848.17048,1661152848.14909,168,1661152848.14961,168,1661152848.14981,90,1661152848.17048,90
8870,0.016568899154663,1661152853.73026,1661152853.71369,168,1661152853.71429,168,1661152853.71438,138,1661152853.73026,90
8871,0.049635887145996,1661152859.36101,1661152859.31138,168,1661152859.3121,168,1661152859.31226,90,1661152859.36101,114
8872,0.001567840576172,1661152864.89613,1661152864.89457,168,1661152864.89539,168,1661152864.89566,90,1661152864.89613,114
8873,0.008810043334961,1661152870.4451,1661152870.43629,168,1661152870.43674,168,1661152870.43704,90,1661152870.4451,114
8874,0.032342910766602,1661152875.99931,1661152875.96696,168,1661152875.96751,168,1661152875.96768,90,1661152875.99931,114
8875,0.030598878860474,1661152881.51847,1661152881.48787,168,1661152881.48827,168,1661152881.48849,90,1661152881.51847,114
8876,0.049690961837769,1661152887.09553,1661152887.04584,168,1661152887.04623,168,1661152887.0464,90,1661152887.09553,90
8877,0.001275062561035,1661152892.58272,1661152892.58144,168,1661152892.58189,168,1661152892.58205,90,1661152892.58272,90
8878,0.023025035858154,1661152898.1566,1661152898.13357,168,1661152898.13402,168,1661152898.13448,90,1661152898.1566,90
8879,0.037875890731812,1661152903.69028,1661152903.6524,168,1661152903.65294,168,1661152903.65329,90,1661152903.69028,114
8880,0.025195121765137,1661152909.21517,1661152909.18997,168,1661152909.19039,168,1661152909.19054,90,1661152909.21517,90
8881,0.022194862365723,1661152914.76491,1661152914.74271,168,1661152914.74348,168,1661152914.74367,90,1661152914.76491,114
8882,0.009860038757324,1661152920.27426,1661152920.2644,168,1661152920.26489,168,1661152920.26508,90,1661152920.27426,90
